code,country,m2018
IE,Airija,95182.8
AT,Austrija,111797.1
BE,Belgija,357160.3
BG,Bulgarija,46432
CZ,Čekija,199470.8
DK,Danija,596971.7
EE,Estija,736336.6
GR,Graikija,35171.6
ES,Ispanija,248458.5
IT,Italija,497851.7
GB,Jungtinė Karalystė,907112.7
CY,Kipras,9689
HR,Kroatija,20215
LV,Latvija,1314003.5
PL,Lenkija,1602337.2
LU,Liuksemburgas,11443.9
MT,Malta,3114.4
NL,Nyderlandai,780913.8
PT,Portugalija,69503.6
FR,Prancūzija,563151.9
RO,Rumunija,65809.6
SK,Slovakija,55454.5
SI,Slovėnija,29358.1
FI,Suomija,390197.4
SE,Švedija,1237563.9
HU,Vengrija,136300.6
DE,Vokietija,1570299.4
AU,Australija,52146.9
BY,Baltarusija,153923.3
IS,Islandija,35439.2
IL,Izraelis,37469.6
JP,Japonija,304383.2
US,Jungtinės Valstijos,1309605.5
AE,Jungtiniai Arabų Emyratai,38840
CA,Kanada,44552
CN,Kinija,140394.3
NO,Norvegija,697958.5
RU,Rusija,301710.2
CH,Šveicarija,130695.1
TR,Turkija,160679.6
UA,Ukraina,654864.8
