code,country,m2017
IE,Airija,68483.2
AT,Austrija,101376.6
BE,Belgija,328534.3
BG,Bulgarija,34096.1
CZ,Čekija,189860.5
DK,Danija,550553.6
EE,Estija,632329.3
GR,Graikija,19827.2
ES,Ispanija,251558.6
IT,Italija,494969
GB,Jungtinė Karalystė,797166.2
CY,Kipras,4607
HR,Kroatija,17400.1
LV,Latvija,1171561.2
PL,Lenkija,1411133.5
LU,Liuksemburgas,10960.3
MT,Malta,2051.5
NL,Nyderlandai,765468.5
PT,Portugalija,56328.7
FR,Prancūzija,557347.9
RO,Rumunija,53810.6
SK,Slovakija,54376.2
SI,Slovėnija,22750.2
FI,Suomija,345851.3
SE,Švedija,1138803.5
HU,Vengrija,117534.1
DE,Vokietija,1503764.9
AU,Australija,37687.1
BY,Baltarusija,138232.7
IS,Islandija,30367.5
IL,Izraelis,42292.2
JP,Japonija,113814.5
US,Jungtinės Valstijos,1225092.4
AE,Jungtiniai Arabų Emyratai,118084.4
CA,Kanada,40002.6
CN,Kinija,130400.9
NO,Norvegija,669498.3
RU,Rusija,304987.7
CH,Šveicarija,127448.9
TR,Turkija,288276.7
UA,Ukraina,548923.6
