code,country,m2014
IE,Airija,54898.5
AT,Austrija,65340.4
BE,Belgija,312852.9
BG,Bulgarija,20577.7
CZ,Čekija,145600.2
DK,Danija,461899.4
EE,Estija,540406.7
GR,Graikija,14228
ES,Ispanija,171754.7
IT,Italija,379036.8
GB,Jungtinė Karalystė,827587.6
CY,Kipras,2610.3
HR,Kroatija,6388.7
LV,Latvija,1116392.4
PL,Lenkija,971504.1
LU,Liuksemburgas,1738.2
MT,Malta,2152.1
NL,Nyderlandai,996881.9
PT,Portugalija,66818.5
FR,Prancūzija,566293.4
RO,Rumunija,46445
SK,Slovakija,43158.4
SI,Slovėnija,25143.7
FI,Suomija,229264.3
SE,Švedija,742325.2
HU,Vengrija,77574.6
DE,Vokietija,1448044.5
AU,Australija,23028.4
BY,Baltarusija,196166.3
IS,Islandija,15199.2
IL,Izraelis,21134.4
JP,Japonija,34480.1
US,Jungtinės Valstijos,886120.2
AE,Jungtiniai Arabų Emyratai,14222.5
CA,Kanada,140118
CN,Kinija,87235.2
NO,Norvegija,518249.5
RU,Rusija,593754.6
CH,Šveicarija,82303.2
TR,Turkija,161493.3
UA,Ukraina,720089.1
