Laikotarpis	Rodiklis	Šalys ir teritorijos:Kodas	Šalys ir teritorijos:Pavadinimas	Kombinuotoji nomenklatūra (2-jų ženklų lygiu)	Matavimo vienetai	Reikšmė
2020M02	Eksportas	SR	Surinamas		tūkst. EUR	3.5
2020M03	Eksportas	SR	Surinamas		tūkst. EUR	119.3
2019	Eksportas	SZ	Svazilandas		tūkst. EUR	1.8
2019	Eksportas	LK	Šri Lanka		tūkst. EUR	1001.9
2020M01	Eksportas	LK	Šri Lanka		tūkst. EUR	11.4
2020M02	Eksportas	LK	Šri Lanka		tūkst. EUR	48
2020M03	Eksportas	LK	Šri Lanka		tūkst. EUR	27.5
2019	Eksportas	CH	Šveicarija		tūkst. EUR	153540.7
2020M01	Eksportas	CH	Šveicarija		tūkst. EUR	16203
2020M02	Eksportas	CH	Šveicarija		tūkst. EUR	13333.5
2020M03	Eksportas	CH	Šveicarija		tūkst. EUR	12245.8
2019	Eksportas	TJ	Tadžikistanas		tūkst. EUR	34525.6
2020M01	Eksportas	TJ	Tadžikistanas		tūkst. EUR	2485.8
2020M02	Eksportas	TJ	Tadžikistanas		tūkst. EUR	3865.6
2020M03	Eksportas	TJ	Tadžikistanas		tūkst. EUR	3376.6
2019	Eksportas	TH	Tailandas		tūkst. EUR	11540.9
2020M01	Eksportas	TH	Tailandas		tūkst. EUR	1291.7
2020M02	Eksportas	TH	Tailandas		tūkst. EUR	970
2020M03	Eksportas	TH	Tailandas		tūkst. EUR	761.8
2019	Eksportas	TW	Taivanas		tūkst. EUR	19594.9
2020M01	Eksportas	TW	Taivanas		tūkst. EUR	1525.6
2020M02	Eksportas	TW	Taivanas		tūkst. EUR	968.3
2020M03	Eksportas	TW	Taivanas		tūkst. EUR	1330.9
2019	Eksportas	TZ	Tanzanija		tūkst. EUR	1169.8
2020M01	Eksportas	TZ	Tanzanija		tūkst. EUR	57.2
2020M02	Eksportas	TZ	Tanzanija		tūkst. EUR	475.5
2020M03	Eksportas	TZ	Tanzanija		tūkst. EUR	26.9
2019	Eksportas	TG	Togas		tūkst. EUR	2978.3
2020M01	Eksportas	TG	Togas		tūkst. EUR	337.8
2020M02	Eksportas	TG	Togas		tūkst. EUR	249.7
2020M03	Eksportas	TG	Togas		tūkst. EUR	331.4
2019	Eksportas	TT	Trinidadas ir Tobagas		tūkst. EUR	1585
2020M01	Eksportas	TT	Trinidadas ir Tobagas		tūkst. EUR	14.3
2020M02	Eksportas	TT	Trinidadas ir Tobagas		tūkst. EUR	14.2
2020M03	Eksportas	TT	Trinidadas ir Tobagas		tūkst. EUR	15.5
2019	Eksportas	TN	Tunisas		tūkst. EUR	8378.8
2020M01	Eksportas	TN	Tunisas		tūkst. EUR	208.2
2020M02	Eksportas	TN	Tunisas		tūkst. EUR	359.8
2020M03	Eksportas	TN	Tunisas		tūkst. EUR	319.8
2019	Eksportas	TR	Turkija		tūkst. EUR	238722.5
2020M01	Eksportas	TR	Turkija		tūkst. EUR	29924.2
2020M02	Eksportas	TR	Turkija		tūkst. EUR	25212.9
2020M03	Eksportas	TR	Turkija		tūkst. EUR	37933.2
2019	Eksportas	TM	Turkmėnistanas		tūkst. EUR	15442.1
2020M01	Eksportas	TM	Turkmėnistanas		tūkst. EUR	1496.7
2020M02	Eksportas	TM	Turkmėnistanas		tūkst. EUR	1098.3
2020M03	Eksportas	TM	Turkmėnistanas		tūkst. EUR	2438
2019	Eksportas	UG	Uganda		tūkst. EUR	513.7
2020M01	Eksportas	UG	Uganda		tūkst. EUR	8.4
2020M02	Eksportas	UG	Uganda		tūkst. EUR	34.8
2020M03	Eksportas	UG	Uganda		tūkst. EUR	4431.8
2019	Eksportas	UA	Ukraina		tūkst. EUR	1072898.8
2020M01	Eksportas	UA	Ukraina		tūkst. EUR	94549.7
2020M02	Eksportas	UA	Ukraina		tūkst. EUR	97719.9
2020M03	Eksportas	UA	Ukraina		tūkst. EUR	93418.2
2019	Eksportas	UY	Urugvajus		tūkst. EUR	1280
2020M01	Eksportas	UY	Urugvajus		tūkst. EUR	87.4
2020M02	Eksportas	UY	Urugvajus		tūkst. EUR	122.5
2020M03	Eksportas	UY	Urugvajus		tūkst. EUR	141.7
2019	Eksportas	UZ	Uzbekistanas		tūkst. EUR	186886.5
2020M01	Eksportas	UZ	Uzbekistanas		tūkst. EUR	6567.3
2020M02	Eksportas	UZ	Uzbekistanas		tūkst. EUR	9977.5
2020M03	Eksportas	UZ	Uzbekistanas		tūkst. EUR	14458.1
2019	Eksportas	VU	Vanuatu		tūkst. EUR	25.1
2020M01	Eksportas	VU	Vanuatu		tūkst. EUR	1.7
2020M02	Eksportas	VU	Vanuatu		tūkst. EUR	2.8
2019	Eksportas	VE	Venesuela		tūkst. EUR	147.7
2020M01	Eksportas	VE	Venesuela		tūkst. EUR	1.6
2020M02	Eksportas	VE	Venesuela		tūkst. EUR	1.6
2020M03	Eksportas	VE	Venesuela		tūkst. EUR	
2019	Eksportas	VN	Vietnamas		tūkst. EUR	18540.6
2020M01	Eksportas	VN	Vietnamas		tūkst. EUR	1365.2
2020M02	Eksportas	VN	Vietnamas		tūkst. EUR	1263.4
2020M03	Eksportas	VN	Vietnamas		tūkst. EUR	677.1
2019	Eksportas	ZM	Zambija		tūkst. EUR	1296.9
2020M01	Eksportas	ZM	Zambija		tūkst. EUR	201.2
2020M02	Eksportas	ZM	Zambija		tūkst. EUR	103.1
2020M03	Eksportas	ZM	Zambija		tūkst. EUR	58.2
2019	Eksportas	ZW	Zimbabvė		tūkst. EUR	260.4
2020M01	Eksportas	ZW	Zimbabvė		tūkst. EUR	28.1
2020M02	Eksportas	ZW	Zimbabvė		tūkst. EUR	47.8
2020M03	Eksportas	ZW	Zimbabvė		tūkst. EUR	68
2019	Eksportas	CV	Žaliasis Kyšulys		tūkst. EUR	9.8
