code,country,m2015
IE,Airija,73788.2
AT,Austrija,64323
BE,Belgija,339281.5
BG,Bulgarija,19816.4
CZ,Čekija,143826.9
DK,Danija,480946.2
EE,Estija,619835.6
GR,Graikija,15911
ES,Ispanija,250722
IT,Italija,404513.6
GB,Jungtinė Karalystė,901098.6
CY,Kipras,3603.5
HR,Kroatija,9759
LV,Latvija,1069152.2
PL,Lenkija,909608.9
LU,Liuksemburgas,2328.6
MT,Malta,5110.4
NL,Nyderlandai,789697.3
PT,Portugalija,72116.1
FR,Prancūzija,535973.9
RO,Rumunija,37469.2
SK,Slovakija,40372.5
SI,Slovėnija,25290.8
FI,Suomija,278469.8
SE,Švedija,802750
HU,Vengrija,85570.5
DE,Vokietija,1449543.6
AU,Australija,27241.2
BY,Baltarusija,126624.7
IS,Islandija,18418.8
IL,Izraelis,29269.9
JP,Japonija,46360.7
US,Jungtinės Valstijos,972580.2
AE,Jungtiniai Arabų Emyratai,51872.9
CA,Kanada,162223.2
CN,Kinija,76510.5
NO,Norvegija,544672.9
RU,Rusija,314647.8
CH,Šveicarija,84340
TR,Turkija,155053.4
UA,Ukraina,467449.9
